Company,Category,Estimated Store Count,Ownership Model,Contact Name,Job Title,linkedin url
vineyard vines,Apparel & Fashion,100-120,Corporate,Carmen Diaz Seidman,Sr Director Wholesale Planning,"https://www.linkedin.com/sales/lead/ACwAAAAHZIkBRAXyBvH-xx8_EKbiudqExW8XQ3Y,NAME_SEARCH,eto9?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BiXdq6EBjRHOD%2FgwnEmgfpg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&snfl=R23%2F0SarTeiaFmFJ6bnDJg%3D%3D"
Les Schwab Tire Centers,Automotive Retail,470-500,Corporate,Dietrich Haar,VP Real Estate & Store Development,"https://www.linkedin.com/sales/lead/ACwAAAAPmDABHmwRpMNYmg86N-NUFULwasmZXAY,NAME_SEARCH,JYkv?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3B09aEBvHdSx2mS2la4h5Hkg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=%C3%95%14%C3%A3%C2%8A%18_H%C2%B5%C2%86%C2%85c%C3%88%C3%A9%C3%AB%C3%B0%5B&snfl=udzMFyM%2FRbGFrL06Oerp5g%3D%3D"
Designer Brands,Footwear Retail,~500,Corporate,Eric Hubbs,"Head of Retail, VP Operations","https://www.linkedin.com/sales/lead/ACwAAAQX_dcB6jxEFmdqdF7WaaelComo5opjNgA,NAME_SEARCH,RtZq?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BDOSQxmrERZmRnln6PbGtkA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&snfl=4iAu2RniQcO0uzP02qUoyw%3D%3D"
Grocery Outlet,Grocery & Food Retail,430-460,Independent operators,Jason Potter,Chief Executive Officer,"https://www.linkedin.com/sales/lead/ACwAAA_EeE8BNg-EM0CYaFi2jGdBQNNlT8jtbEk,NAME_SEARCH,YL9A?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3B4A3z1fLqRBGYgEbpIlYwkA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&snfl=IBwqNVkTTWuG1TuUZoHClw%3D%3D"
Starbucks Brasil,Grocery & Food Retail,150-180,Licensed/Franchise,Mariane Wiederkehr,Presidente,"https://www.linkedin.com/sales/lead/ACwAABQqA54B9yHBHAj_HyinXdzF1ZE8CKGDfEE,NAME_SEARCH,IGM3?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BfYLGczbTSImY7iFQgpAhTg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=c~L%C2%8CW%C3%93%40%19%C2%A7*%C3%8E%60%C2%88%7C3%C3%B2&snfl=2a5uJR1cSNmiD3lmNxDtzA%3D%3D"
H Mart,Grocery & Food Retail,100-120,Corporate,Vince Colatriano,Executive Vice President,"https://www.linkedin.com/sales/lead/ACwAAAKIB-kBcHxEEfMWKOla6dOUpgWYEyw5edA,NAME_SEARCH,0czo?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3Bspi7CbvuS6m6%2BKNK9Rskhw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=%C2%9E%24%C2%9AGb%18C%05%C2%83%C2%B6_%C3%90%15%C3%85D%C3%80&snfl=bbDmgLPVRgK5Suz7kggjzQ%3D%3D"
Brookshire Grocery Company,Grocery & Food Retail,120-130,Corporate,Shawn Sedate,EVP Chief Information Officer,"https://www.linkedin.com/sales/lead/ACwAAACOC_YB7ugSETEA6h4BwGW6KNLpJ56DoHE,NAME_SEARCH,w32L?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3B5q0R77QuR7iwSXmde1cofA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=%1B%0E%C2%83%C3%A8%C3%98%C3%BAEX%C2%8A%28%C3%A0%60%C3%A6%C3%A6%C3%A1%C2%85&snfl=MlT7eMpvQfugL%2B7XsNV3Qg%3D%3D"
The GIANT Company,Grocery & Food Retail,180-200,Corporate,John Ruane,President,"https://www.linkedin.com/sales/lead/ACwAAAhpErQBfuQKlMRyEphWi4U-oyEBQHCSA4E,NAME_SEARCH,h9T2?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3B%2BUKi4dKlSrK7riwUimzVcw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=a%C3%86A*%C3%BA%13A%5D%C2%BB%1065%188.%1C&snfl=qeQO5AS4TMO6JV%2F4GfciZw%3D%3D"
Southeastern Grocers,Grocery & Food Retail,420,Corporate,Anthony T. Hucker,Chairman & CEO,"https://www.linkedin.com/sales/lead/ACwAAANPkm8BpR7IubZsSt4L12ZUb2di0yWr5kw,NAME_SEARCH,ki7c?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BW%2BQKtLcxR5KyRu5weeXrpg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&snfl=Utjpz9L%2BSnqOsXL%2FQmzUFA%3D%3D"
BJ's Wholesale Club,Grocery & Food Retail,230-250,Corporate,Paul Cichocki,EVP & Chief Commercial Officer,"https://www.linkedin.com/sales/lead/ACwAABIYfkQBK0ACWrUTa29YcjI7xcCpW-B6V0I,NAME_SEARCH,Cwk0?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BXkYQ%2BIDtRnS9D6f1GRWnkA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=%C3%8FZ%7B%C2%87%7B%C2%B4I%C2%B2%C2%A1%C3%BEI%3A%C2%B4%C2%9Ah%C3%A6&snfl=t1EjkKCeRIOqtAm7URcKBw%3D%3D"
Havertys Furniture,Home & Furniture,120-130,Corporate,Richard B. Hare,EVP & CFO,"https://www.linkedin.com/sales/lead/ACwAAACwN2UB42Xmoh9LU-JZzNRZ2OGqMZYlk8A,NAME_SEARCH,dMT0?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BdvyTd4rQRHSVuQmZ7tZeeQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&snfl=oTho1iqCTmqASN8hznsIZA%3D%3D"
Bob's Discount Furniture,Home & Furniture,160-180,Corporate,Michael Butka,"Vice President, Omnichannel Merchandising","https://www.linkedin.com/sales/lead/ACwAAAt__oMBUlENIPBVDXQRDo8KdKzxG6eQg98,NAME_SEARCH,QOFK?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BHUEfCVkvQK2l8vcGPomNsA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&snfl=FkMZEqS%2BStyHFAni62UMOg%3D%3D"
West Marine,Home & Specialty Retail,230-250,Corporate,Kristen Reed,Vice President Stores,"https://www.linkedin.com/sales/lead/ACwAAAM_JRgBSeALIn9AisCl-4EMUm7TtHZbIEs,NAME_SEARCH,rf_h?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BgqGEgTtTSGi6951jHfZvYg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&snfl=cwcDCqeiSLWzK4K%2FK5n2ww%3D%3D"
Floor & Decor,Home Improvement,230-250,Corporate,Krystal Zell,"Executive Vice President, Chief Customer Officer ","https://www.linkedin.com/sales/lead/ACwAAAArPDQBl8VzuWMBnqQzUoDgP07wZPqX7go,NAME_SEARCH,WWNy?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3Bio57BzseRO2aJJD6mWcYvg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=.%C3%BD%C3%AC%C2%8A%2F%C3%80Cm%C2%AF%24%C3%AF%7D%1B%C3%BC6A&snfl=pwVWuSShSLyZuFczeyNwog%3D%3D"
3 Day Blinds,Home Services Retail,100-120,Franchise,Andre Rossler,President,"https://www.linkedin.com/sales/lead/ACwAAAAZz_YBpT2U9-cSsvs7ygmYP8GqNNR3D5Q,NAME_SEARCH,41zo?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3B%2B5OeASHAQvGPD6rYAffXkA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=%C3%89%C2%891%C3%B2%C3%BD%7DG%C2%9B%C2%BF7%C3%98%3Bo%C3%A3%C3%95%C3%A0&snfl=qdY5xd5sTNiAdCYHY%2FaJfg%3D%3D"
SmartBuyGlasses Optical Group,Optical Retail,150-180,Corporate,Doron K.,Co-Founder,"https://www.linkedin.com/sales/lead/ACwAAARVQxkBLORrjcho9_LyIaUmUBMD-tUs3GI,NAME_SEARCH,4wHb?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BfrMdLWNASris13NrXv%2F0fg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=WM%C3%99%C3%94%C3%BB%C2%BCIO%C2%89!%C3%9C%C2%B1%3B%C3%80%29F&snfl=T6mhvNZfSYevruTbZWzfIw%3D%3D"
Petsense by Tractor Supply,Pet & Specialty Retail,200-220,Corporate,Neil Tenzer,Senior Vice President,"https://www.linkedin.com/sales/search/people?query=(recentSearchParam%3A(id%3A5155079250%2CdoLogHistory%3Atrue)%2Cfilters%3AList((type%3ASCHOOL%2Cvalues%3AList((id%3A4867%2Ctext%3AHarvard%2520Business%2520School%2CselectionType%3AINCLUDED)))%2C(type%3ASENIORITY_LEVEL%2Cvalues%3AList((id%3A320%2Ctext%3AOwner%2520%252F%2520Partner%2CselectionType%3AINCLUDED)%2C(id%3A300%2Ctext%3AVice%2520President%2CselectionType%3AINCLUDED)%2C(id%3A310%2Ctext%3ACXO%2CselectionType%3AINCLUDED)))%2C(type%3ACOMPANY_HEADQUARTERS%2Cvalues%3AList((id%3A103644278%2Ctext%3AUnited%2520States%2CselectionType%3AINCLUDED)))%2C(type%3AINDUSTRY%2Cvalues%3AList((id%3A27%2Ctext%3ARetail%2CselectionType%3AINCLUDED)))%2C(type%3ACURRENT_COMPANY%2Cvalues%3AList((id%3Aurn%253Ali%253Aorganization%253A105203%2Ctext%3APetsense%2520by%2520Tractor%2520Supply%2CselectionType%3AINCLUDED%2Cparent%3A(id%3A0))))))&sessionId=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D#:~:text=Tenzer%20to%20selection-,Neil%20Tenzer,-2nd%20degree%20connection"
Dunham's Sports,Sporting Goods Retail,240-260,Corporate,David Palmer,VP Marketing & Advertising,"https://www.linkedin.com/sales/lead/ACwAAACRlhcBO-97xcwwm-tkHn6jWpOCrEk6gfk,NAME_SEARCH,j3R4?_ntb=5B2QUpEES7Wp8V0h4J%2FrSg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_sales2_search_people%3BcKOHjSiQQQyC099ry%2FgHiQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_sales2_search_people-view_lead_panel_via_search_lead_name&lici=6R%C2%8B%17%C2%B9pG%24%C2%8C%C2%BDUPC%C3%9F%C3%82%C2%B0&snfl=KAZ37NjVQQm68DBoZ5zUAQ%3D%3D"